event_id,event_type,order_id,occurred_at,customer_id,vendor_id,driver_id,gmv,food_cost,delivery_fee,service_fee,discount,cancelled_by,cancel_reason
evt_001,order_placed,ord_001,2026-06-01T10:00:00.000Z,cust_001,vend_001,,1500,1000,200,50,0,,
evt_002,order_confirmed,ord_001,2026-06-01T10:02:00.000Z,cust_001,vend_001,,,,,,,,
evt_003,order_prepared,ord_001,2026-06-01T10:20:00.000Z,cust_001,vend_001,,,,,,,,
evt_004,order_picked_up,ord_001,2026-06-01T10:25:00.000Z,cust_001,vend_001,driv_001,,,,,,,
evt_005,order_delivered,ord_001,2026-06-01T10:50:00.000Z,cust_001,vend_001,driv_001,,,,,,,
evt_006,order_placed,ord_002,2026-06-01T11:00:00.000Z,cust_002,vend_002,,800,500,200,30,0,,
evt_007,order_cancelled,ord_002,2026-06-01T11:01:00.000Z,cust_002,vend_002,,,,,,,customer,changed_mind
evt_008,order_placed,ord_003,2026-06-02T10:00:00.000Z,cust_001,vend_001,,-50,300,200,12,500,,
evt_009,order_placed,ord_004,2026-06-02T11:00:00.000Z,cust_001,vend_999,,1000,700,200,40,0,,
evt_010,order_shared_to_social,ord_005,2026-06-02T12:00:00.000Z,cust_001,vend_001,,,,,,,,
evt_011,order_placed,ord_006,2026-06-02T13:00:00.000Z,cust_001,vend_001,,1200,800,200,40,0,,
evt_012,order_confirmed,ord_006,2026-06-02T13:02:00.000Z,cust_001,vend_001,,,,,,,,
evt_013,order_prepared,ord_006,2026-06-02T13:20:00.000Z,cust_001,vend_001,,,,,,,,
evt_014,order_picked_up,ord_006,2026-06-02T13:25:00.000Z,cust_001,vend_001,driv_001,,,,,,,
evt_015,order_delivered,ord_006,2026-06-02T12:00:00.000Z,cust_001,vend_001,driv_001,,,,,,,
evt_001,order_placed,ord_007,2026-06-02T14:00:00.000Z,cust_002,vend_002,,900,600,200,35,0,,
,order_confirmed,ord_007,2026-06-02T14:02:00.000Z,cust_002,vend_002,,,,,,,,
